"ZIONTRACKINGKEY","BANK","ACCOUNT","TRANSACTIONTYPE","DATESTAMP","BRANCHID"
"59041.0","018","4987654321","1750","123811","73953"
"59042.0","018","4987654321","1750","123811","15084"
"59043.0","018","4987654321","1750","123811","15869"
"59044.0","018","4987654321","1750","123811","85770"
"59045.0","018","4987654321","1750","123811","10703"
"59046.0","018","4987654321","1750","123811","99667"
"59047.0","018","4987654321","1750","123811","56445"
"59048.0","018","4987654321","1750","123811","54781"
"59049.0","018","4987654321","1750","123811","60933"
"59050.0","018","4987654321","1750","123811","40402"
"59051.0","018","4987654321","1750","123811","82098"
"59052.0","001","4654715731","1750","123811","99844"
"59053.0","018","4987654321","1750","123811","01769"
"59054.0","018","3239770737","1510","123811","12404"
"59055.0","018","4655173041","1010","123811","88112"
"59056.0","018","0477648150","1750","123811","75644"
"59057.0","013","4767505240","1510","123811","95959"
"59058.0","013","1662550842","1510","123811","55530"
"59059.0","013","4856499859","1010","123811","71840"
"59060.0","001","5743278178","1510","123811","71484"
"59061.0","001","2287929306","1750","123811","15255"
"59062.0","018","9793101629","1510","123811","31795"
"59063.0","001","4741979756","1010","123811","92988"
"59064.0","018","0889062496","1750","123811","71123"
"59065.0","013","9344989258","1510","123811","55138"
"59066.0","018","9557494247","1010","123811","39795"
"59067.0","001","4326677811","1510","123811","41583"
"59068.0","013","0347056394","1010","123811","99448"
"59069.0","013","6271890385","1010","123811","51355"
"59070.0","013","6872634800","1010","123811","40748"
"59071.0","001","7064624698","1750","123811","17452"
"59072.0","018","4806633073","1010","123811","20660"
"59073.0","001","5850996958","1750","123811","61644"
"59074.0","001","6819425706","1010","123811","75398"
"59075.0","018","7593630801","1750","123811","68528"
"59076.0","013","5520600319","1010","123811","77088"
"59077.0","013","6547807509","1010","123811","48094"
"59078.0","013","9246462250","1750","123811","57621"
"59079.0","018","8568153112","1510","123811","38607"
"59080.0","018","4329764496","1510","123811","13482"
"59081.0","001","0151863607","1750","123811","53522"
"59082.0","018","6524304577","1510","123811","85442"
"59083.0","001","5187896014","1510","123811","88892"
"59084.0","013","4001146780","1750","123811","10055"
"59085.0","018","6154705167","1010","123811","11105"
"59086.0","001","1681876398","1010","123811","07665"
"59087.0","013","2098385625","1750","123811","17874"
"59088.0","018","6343128907","1010","123811","71441"
"59089.0","001","2066890278","1510","123811","41252"
"59090.0","013","1053870562","1510","123811","97746"
"59091.0","013","0472933873","1510","123811","72360"
"59092.0","018","2943742661","1510","123811","32041"
"59093.0","018","3168084301","1750","123811","30611"
"59094.0","018","1819354276","1010","123811","12168"
"59095.0","001","2706398342","1010","123811","06625"
"59096.0","013","0295728178","1750","123811","74171"
"59097.0","013","4082575128","1010","123811","84681"
"59098.0","018","6811467056","1510","123811","45052"
"59099.0","013","0540951627","1510","123811","23898"
"59100.0","013","2481979694","1750","123811","98169"
"59101.0","013","0080232177","1750","123811","62997"
"59102.0","018","0702249382","1010","123811","64141"
"59103.0","013","2223630419","1750","123811","45326"
"59104.0","018","1021752247","1010","123811","70210"
"59105.0","013","9218290545","1010","123811","16793"
"59106.0","018","2634914760","1010","123811","75173"
"59107.0","018","6925098363","1750","123811","77412"
"59108.0","001","4008529493","1010","123811","60931"
"59109.0","018","6247579925","1510","123811","61863"
"59110.0","013","6262327181","1010","123811","21254"
"59111.0","018","1150663966","1510","123811","59989"
"59112.0","013","5800156184","1010","123811","65347"
"59113.0","018","4987654321","1750","123811","87428"
"59114.0","001","1821553395","1750","123811","56706"
"59115.0","013","0583764909","1510","123811","58300"
"59116.0","013","6376902551","1750","123811","50280"
"59117.0","013","7835816358","1010","123811","26825"
"59118.0","013","6147626622","1750","123811","03003"
"59119.0","018","5137923793","1750","123811","35066"
"59120.0","018","6509235666","1750","123811","72252"
"59121.0","018","1366054832","1010","123811","19056"
"59122.0","018","7603179743","1750","123811","75943"
"59123.0","013","2233895888","1010","123811","59476"
"59124.0","013","3816428029","1750","123811","67539"
"59125.0","018","4337890383","1510","123811","89934"
"59126.0","018","1683337421","1510","123811","38816"
"59127.0","018","4550336044","1750","123811","39313"
"59128.0","013","3945221894","1010","123811","57255"
"59129.0","001","4782378816","1750","123811","39116"
"59130.0","018","5481690259","1010","123811","96973"
"59131.0","013","8433928102","1750","123811","96113"
"59132.0","018","3847779282","1510","123811","76546"
"59133.0","018","7055083985","1750","123811","77476"
"59134.0","018","9500444890","1510","123811","52293"
"59135.0","013","0014343902","1510","123811","95247"
"59136.0","018","6254910957","1010","123811","71468"
"59137.0","001","2871987455","1510","123811","36717"
"59138.0","018","1413784592","1750","123811","31841"
"59139.0","013","4128073347","1750","123811","73648"
"59140.0","018","4024503125","1750","123811","82061"
"59141.0","018","3139692918","1750","123811","41016"
"59142.0","013","0234598163","1510","123811","04197"
"59143.0","018","1174495309","1510","123811","86427"
"59144.0","013","7185009660","1010","123811","23947"
"59145.0","013","2417180114","1510","123811","01517"
"59146.0","018","7427415536","1510","123811","66581"
"59147.0","001","3629665218","1010","123811","99814"
"59148.0","001","0984051932","1510","123811","99729"
"59149.0","018","8237321245","1010","123811","39077"
"59150.0","013","5683737745","1750","123811","80353"
"59151.0","001","9180379785","1510","123811","73728"
"59152.0","018","4987654321","1750","123811","00261"
"59153.0","001","7236727496","1750","123811","50535"
"59154.0","001","9476975788","1750","123811","80466"
"59155.0","018","2857778301","1010","123811","73415"
"59156.0","013","9292555791","1510","123811","96310"
"59157.0","013","4661138628","1010","123811","61096"
"59158.0","001","2374458813","1510","123811","27470"
"59159.0","013","5421532598","1010","123811","20145"
"59160.0","013","2930135287","1510","123811","22158"
"59161.0","018","6837692816","1510","123811","58071"
"59162.0","018","6323036432","1510","123811","81080"
"59163.0","013","9705785144","1010","123811","98173"
"59164.0","018","7411059038","1510","123811","55441"
"59165.0","001","0331357440","1750","123811","80465"
"59166.0","018","8682943093","1010","123811","09674"
"59167.0","013","7989982585","1750","123811","96916"
"59168.0","013","0449273700","1010","123811","41597"
"59169.0","018","7477468451","1010","123811","18112"
"59170.0","018","4689059430","1750","123811","04754"
"59171.0","013","6836337136","1010","123811","32166"
"59172.0","013","3776352993","1010","123811","74817"
"59173.0","013","2306721044","1750","123811","18775"
"59174.0","001","4920904724","1510","123811","22601"
"59175.0","001","3460681463","1750","123811","93973"
"59176.0","013","4520928617","1750","123811","36400"
"59177.0","001","6371439974","1750","123811","55648"
"59178.0","013","7766195004","1010","123811","83363"
"59179.0","013","9152672834","1510","123811","10517"
"59180.0","013","8830637127","1750","123811","24360"
"59181.0","013","7725112852","1010","123811","47166"
"59182.0","018","3603939230","1510","123811","89250"
"59183.0","001","8850003322","1510","123811","59996"
"59184.0","013","0730893604","1750","123811","51710"
"59186.0","018","9213817219","1510","123811","62649"
"59185.0","013","8978072333","1010","123811","81416"
"59187.0","013","4367289810","1750","123811","99407"
"59188.0","001","9508512876","1010","123811","24549"
"59189.0","013","1785287406","1750","123811","61379"
"59190.0","018","2822272433","1750","123811","18978"
"59191.0","018","0462440971","1750","123811","29384"
"59192.0","013","5119771272","1750","123811","03462"
"59193.0","001","9253759243","1510","123811","69598"
"59194.0","013","6769211595","1010","123811","62059"
"59195.0","018","8120880800","1750","123811","32716"
"59196.0","001","0232831095","1510","123811","59865"
"59198.0","013","8372934365","1010","123811","56870"
"59197.0","013","3415435594","1510","123811","67452"
"59199.0","013","3291436534","1510","123811","37445"
"59200.0","018","8791300823","1750","123811","83287"
"59201.0","001","6928334854","1510","123811","59072"
"59202.0","001","4688304259","1010","123811","49251"
"59203.0","001","4287164308","1510","123811","22517"
"59204.0","001","1165571764","1750","123811","07732"
"59205.0","001","6924810511","1750","123811","50679"
"59206.0","013","4111215787","1010","123811","83221"
"59207.0","001","4719219762","1750","123811","71905"
"59208.0","013","8035176603","1750","123811","50276"
"59209.0","018","0823599322","1010","123811","20451"
"59210.0","013","6902235268","1510","123811","54152"
"59211.0","018","7510660711","1010","123811","05690"
"59212.0","001","5582725013","1510","123811","76779"
"59213.0","018","3160291814","1010","123811","28651"
"59214.0","018","3603818860","1750","123811","90616"
"59215.0","018","9231753339","1010","123811","01821"
"59216.0","001","6877594891","1510","123811","28346"
"59217.0","013","4728682977","1510","123811","65834"
"59218.0","018","9586225265","1010","123811","36698"
"59219.0","001","4858542152","1010","123811","07248"
"59220.0","013","7169927741","1750","123811","46781"
"59221.0","013","4213152140","1750","123811","73456"
"59222.0","018","2512981756","1510","123811","61554"
"59223.0","013","3540964146","1510","123811","58646"
"59224.0","001","3054767386","1510","123811","73384"
"59225.0","018","6902819518","1750","123811","02583"
"59226.0","013","9869808139","1510","123811","74780"
"59227.0","018","7943023274","1510","123811","03372"
"59228.0","013","0920324481","1010","123811","79972"
"59229.0","018","4872814065","1750","123811","17113"
"59230.0","001","1448929953","1010","123811","34058"
"59231.0","013","8722452216","1010","123811","09209"
"59232.0","013","2585301975","1010","123811","22954"
"59233.0","001","2394762736","1750","123811","15797"
"59234.0","013","1108660872","1010","123811","30037"
"59235.0","013","9492368289","1750","123811","92104"
"59236.0","018","6009714705","1510","123811","20981"
"59237.0","018","1278191567","1510","123811","89119"
"59238.0","013","5491310172","1010","123811","30731"
"59239.0","001","5121665138","1010","123811","63145"
"59240.0","013","2193925088","1510","123811","73817"
"59241.0","018","8152273755","1750","123811","89253"
"59242.0","018","6024605214","1750","123811","97402"
"59243.0","001","3445143495","1010","123811","30305"
"59244.0","001","9900903665","1510","123811","67063"
"59245.0","001","6589797475","1510","123811","97171"
"59246.0","018","8221335901","1510","123811","71671"
"59247.0","001","9810415218","1010","123811","59608"
"59248.0","013","0818010275","1010","123811","75805"
"59249.0","018","0510653456","1010","123811","69326"
"59250.0","013","8580197059","1750","123811","26292"
"59251.0","013","2511674207","1010","123811","82675"
"59252.0","001","4365893348","1010","123811","91438"
"59253.0","013","3063668489","1750","123811","31930"
"59254.0","001","4815816552","1750","123811","24454"
"59255.0","001","9093029772","1010","123811","76330"
"59256.0","018","4976882875","1010","123811","36251"
"59257.0","001","1926363713","1750","123811","47799"
"59258.0","018","4823150087","1750","123811","40144"
"59259.0","018","0611223950","1010","123811","19179"
"59260.0","001","3615671368","1510","123811","89678"
"59261.0","013","1198070776","1750","123811","42652"
"59262.0","018","3961273921","1750","123811","53120"
"59263.0","001","2386491096","1010","123811","71759"
"59264.0","001","3983124205","1750","123811","34368"
"59265.0","001","7337947841","1010","123811","30774"
"59266.0","018","5401456346","1010","123811","78847"
"59267.0","001","2124062709","1010","123811","22268"
"59268.0","001","4387240198","1750","123811","85580"
"59269.0","018","3854129212","1510","123811","95303"
"59270.0","001","2865410653","1010","123811","95186"
"59271.0","013","5350556299","1010","123811","51691"
"59272.0","001","3704632417","1010","123811","63884"
"59273.0","018","3566895747","1010","123811","22341"
"59274.0","013","0328286079","1010","123811","91450"
"59275.0","018","9504778236","1510","123811","78322"
"59276.0","001","6153180328","1010","123811","18235"
"59277.0","013","4041019091","1750","123811","70258"
"59278.0","018","5442405424","1750","123811","04650"
"59280.0","018","5300240334","1010","123811","81114"
"59279.0","018","0163593010","1510","123811","59575"
"59281.0","001","5427829079","1010","123811","28389"
"59282.0","001","3599439110","1010","123811","04778"
"59283.0","018","8459300055","1010","123811","02701"
"59284.0","013","3597276862","1750","123811","63872"
"59285.0","001","2000228569","1750","123811","14781"
"59286.0","018","4484061125","1010","123811","64629"
"59287.0","001","7521265924","1510","123811","70880"
"59288.0","013","4601271128","1010","123811","34679"
"59289.0","013","6849897891","1510","123811","33123"
"59290.0","001","2642019277","1510","123811","18481"
"59291.0","013","5974989516","1010","123811","29189"
"59292.0","018","9463395597","1510","123811","22718"
"59293.0","013","1672836776","1510","123811","35336"
"59294.0","001","5765635520","1010","123811","64223"
"59295.0","013","0926186222","1010","123811","90821"
"59296.0","013","7820635420","1510","123811","41235"
"59297.0","018","1971115541","1010","123811","83032"
"59298.0","018","4276890151","1750","123811","87157"
